status,time,card_type,city,amount,id
success,2025-09-07 10:48:00,Visa,Tehran,470243,98
success,2025-09-20 13:10:00,MastCard,Tehran,4025070,52
fail,2025-09-29 03:27:00,Visa,Tehran ,3573895,20
success,2025-09-15 13:13:00,Discover,Isfahan,4961173,40
success,2025-09-11 11:11:00,Visa,Tehran,2067746,59
fail,2025-09-08 21:21:00,Discover,Tehran,1883047,77
Success,2025-09-29 22:27:00,Visa,Tabriz,2536224,14
fail,2025-09-21 03:00:00,Master-Card,Tehran,2800188,44
success,2025-09-07 12:12:00,Discover,Isfahan,3921977,87
fail,2025-09-26 07:32:00,Visa,Tehran,481470,82
success,2025-09-19 12:12:00,Visa,Tehran,1111780,48
fail,2025-09-23 19:19:00,Amex,Shiraz,4556042,94
fail,2025-09-11 07:32:00,visa,TEHRAN,1070586,43
failed,2025-09-11 14:30:00,Visa,Isfahan,1274357,16
fail,2025-09-24 11:11:00,Visa,karaj,4450009,35
failed,2025-09-21 11:11:00,MasterCard,Tehran,4820423,53
success,2025-09-04 10:05:00,Amex,Ahvaz,3001375,34
succeed,2025-09-08 19:51:00,Discover,Tehran,2412259,3
success,2025-09-24 03:00:00,Discover,karaj,3928394,68
fail,2025-09-03 17:17:00,MasterCard,THR,4769272,5
fail,2025-09-22 00:00:00,Discover,Ahvaz,4655306,10
failed,2025-09-21 11:11:00,,karaj,2225183,52
failed,2025-09-02 11:11:00,Visa,Qom,2565905,29
fail,2025-09-24 13:10:00,Discover,Tabriz,996830,97
success,2025-09-12 16:40:00,Vsa,Shiraz,929398,31
success,2025-09-30 16:40:00,Vsa,Isfahan,3937788,66
FAIL,2025-09-06 01:01:00,Visa,Tehran,4326289,76
Success,2025-09-02 16:40:00,VISA,Mashhad,519421,92
succeed,2025-09-28 03:27:00,MastCard,Shiraz,2269111,69
failed,2025-09-21 21:10:00,Discover,Tehran,1709319,37
Success,2025-09-01 14:30:00,MasterCard,Shiraz,791548,27
fail,2025-09-12 22:27:00,Discover,Shiraz,2031666,88
failed,2025-09-26 03:27:00,Visa,Tehran,1054582,33
success,2025-09-22 02:54:00,Discover,Isfahan,1766644,68
FAIL,2025-09-29 11:11:00,Amex,Tehran ,191785,59
success,2025-09-12 19:51:00,Vsa,THR,3214669,64
fail,2025-09-25 12:34:00,Discover,Isfahan,2846388,85
success,2025-09-17 14:02:00,Discover,Isfahan,2872925,89
success,2025-09-27 02:24:00,MasterCard,Tehran,2474890,44
fail,2025-09-27 11:11:00,Amex,Tehran,2403888,96
fail,2025-09-10 19:29:00,MastCard,Tabriz,4270054,89
success,2025-09-28 19:40:00,Discover,tehr@n,1712470,49
fail,2025-09-28 12:12:00,Amex,tehr@n,1945579,53
fail,2025-09-16 07:32:00,Discover,karaj,894201,74
fail,2025-09-15 11:11:00,MastCard,Isfahan,2863299,49
Success,2025-09-30 21:23:00,Visa,Tehran,4735208,66
success,2025-09-30 09:09:00,Discover,Qom,4099144,96
fail,2025-09-15 05:23:00,MasterCard,Shiraz,4430349,63
success,2025-09-30 01:01:00,Master-Card,Isfahan,1151663,25
success,2025-09-19 14:00:00,Amex,Karaj,2376075,4
fail,2025-09-12 21:23:00,VISA,Karaj,2761387,51
fail,2025-09-23 08:08:00,Visa,Ahvaz,2400003,11
success,2025-09-20 02:24:00,MasterCard,Mashhad,632732,17
success,2025-09-25 07:32:00,MasterCard,Ahvaz,1908916,66
success,2025-09-03 18:12:00,Amex,Tehran,2552243,70
success,2025-09-05 02:30:00,Vsa,Karaj,3187566,73
fail,2025-09-19 02:24:00,Vsa,Tabriz,2551209,69
FAIL,2025-09-07 02:30:00,MastCard,Tabriz,511910,84
fail,2025-09-21 07:08:00,Amex,Tehran,954048,29
success,2025-09-09 14:02:00,Master Card,Tehran,546844,85
fail,2025-09-07 09:09:00,Discover,,4288028,73
fail,2025-09-18 16:16:00,Vsa,Isfahan,3117825,93
success,2025-09-04 16:40:00,,TEHRAN,1945207,72
fail,2025-09-25 19:29:00,MasterCard,Tehran,2766005,96
success,2025-09-28 14:11:00,MastCard,Tabriz,2633852,20
fail,2025-09-14 13:10:00,Discover,Qom,4859251,27
success,2025-09-18 03:27:00,Visa,Isfahan,1686426,8
success,2025-09-26 16:40:00,Amex,Shiraz,4960205,85
fail,2025-09-09 13:13:00,Visa,Isfahan,2748143,61
failed,2025-09-26 12:12:00,MasterCard,karaj,157576,28
fail,2025-09-21 21:21:00,Master-Card,Isfahan,690742,88
fail,2025-09-02 06:30:00,Visa,Qom,4663446,70
success,2025-09-20 11:11:00,Visa,Tabriz,2313027,3
success,2025-09-28 04:04:00,Amex,Karaj,4965615,69
success,2025-09-15 07:07:00,Discover,Shiraz,3065757,73
fail,2025-09-28 13:10:00,MasterCard,Isfahan,2981814,7
failed,2025-09-07 06:06:00,MasterCard,Tabriz,4364800,60
success,2025-09-12 23:59:00,Visa,Shiraz,1865353,4
fail,2025-09-29 21:23:00,Visa,tehr@n,572589,5
fail,2025-09-08 19:40:00,Master-Card,Tehran,3101919,11
failed,2025-09-15 23:17:00,Visa,Ahvaz,1062366,15
success,2025-09-03 05:23:00,MasterCard,Qom,3333028,64
fail,2025-09-14 07:08:00,VISA,Mashhad,2968964,99
fail,2025-09-17 01:51:00,Vsa,Tehran ,1967066,13
fail,2025-09-04 05:23:00,Visa,Qom,3496686,7
success,2025-09-18 14:00:00,MasterCard,karaj,1536858,6
failed,2025-09-08 14:00:00,MastCard,Mashhad,3976243,56
success,2025-09-04 10:05:00,MastCard,Tabriz,3287443,64
success,2025-09-02 17:07:00,MastCard,Karaj,3189254,50
failed,2025-09-30 04:04:00,MasterCard,TEHRAN,4971625,30
success,2025-09-06 08:08:00,Visa,karaj,3638111,22
success,2025-09-22 02:54:00,MasterCard,Tehran,4087309,25
fail,2025-09-10 19:51:00,Amex,Tabriz,792142,28
success,2025-09-04 03:27:00,Amex,Mashhad,4094360,84
success,2025-09-22 04:15:00,Visa,Qom,3858348,39
fail,2025-09-29 16:16:00,Visa,Tehran,4813387,67
succeed,2025-09-18 10:05:00,VISA,Tabriz,3147625,5
failed,2025-09-26 14:11:00,Visa,Ahvaz,1810565,65
success,2025-09-12 09:45:00,Discover,Karaj,3636197,15
success,2025-09-02 16:40:00,MastCard,karaj,4165271,91
success,2025-09-10 02:20:00,MasterCard,tehr@n,3636242,67
fail,2025-09-30 09:09:00,Visa,Tabriz,1491328,40
